Certainly! Here is the complete list of levels for an 8-bit ADC with a full-scale range of 0V to 15V. Each level corresponds to a step size of approximately 0.05859375V (fullscale/2**N = 15V/2**8 = 15/256).

### Levels for an 8-bit ADC with Full-scale Range of 0V to 15V

| Level | Voltage Range (V)                |
| 93    | 5.4492 - 5.5078                  |
| 94    | 5.5078 - 5.5664                  |
| 95    | 5.5664 - 5.6250                  |
| 96    | 5.6250 - 5.6836                  |
| 97    | 5.6836 - 5.7422                  |
| 98    | 5.7422 - 5.8008                  |
| 99    | 5.8008 - 5.8594                  |
| 100   | 5.8594 - 5.9180                  |
| 101   | 5.9180 - 5.9766                  |
| 102   | 5.9766 - 6.0352                  |
| 103   | 6.0352 - 6.0938                  |
| 104   | 6.0938 - 6.1523                  |
| 105   | 6.1523 - 6.2109                  |
| 106   | 6.2109 - 6.2695                  |
| 107   | 6.2695 - 6.3281                  |
| 108   | 6.3281 - 6.3867                  |
| 

109   | 6.3867 - 6.4453                  |
| 110   | 6.4453 - 6.5039                  |
| 111   | 6.5039 - 6.5625                  |
| 112   | 6.5625 - 6.6211                  |
| 113   | 6.6211 - 6.6797                  |
| 114   | 6.6797 - 6.7383                  |
| 115   | 6.7383 - 6.7969                  |
| 116   | 6.7969 - 6.8555                  |
| 117   | 6.8555 - 6.9141                  |
| 118   | 6.9141 - 6.9727                  |
| 119   | 6.9727 - 7.0313                  |
| 120   | 7.0313 - 7.0898                  |
| 121   | 7.0898 - 7.1484                  |
| 122   | 7.1484 - 7.2070                  |
| 123   | 7.2070 - 7.2656                  |
| 124   | 7.2656 - 7.3242                  |
| 125   | 7.3242 - 7.3828                  |
| 126   | 7.3828 - 7.4414                  |
| 127   | 7.4414 - 7.5000                  |
| 128   | 7.5000 - 7.5586                  |
| 129   | 7.5586 - 7.6172                  |
| 130   | 7.6172 - 7.6758                  |
| 131   | 7.6758 - 7.7344                  |
| 132   | 7.7344 - 7.7930                  |
| 133   | 7.7930 - 7.8516                  |
| 134   | 7.8516 - 7.9102                  |
| 135   | 7.9102 - 7.9688                  |
| 136   | 7.9688 - 8.0273                  |
| 137   | 8.0273 - 8.0859                  |
| 138   | 8.0859 - 8.1445                  |
| 139   | 8.1445 - 8.2031                  |
| 140   | 8.2031 - 8.2617                  |
| 141   | 8.2617 - 8.3203                  |
| 142   | 8.3203 - 8.3789                  |
| 143   | 8.3789 - 8.4375                  |
| 144   | 8.4375 - 8.4961                  |
| 145   | 8.4961 - 8.5547                  |
| 146   | 8.5547 - 8.6133                  |
| 147   | 8.6133 - 8.6719                  |
| 148   | 8.6719 - 8.7305                  |
| 149   | 8.7305 - 8.7891                  |
| 150   | 8.7891 - 8.8477                  |
| 151   | 8.8477 - 8.9063                  |
| 152   | 8.9063 - 8.9648                  |
| 153   | 8.9648 - 9.0234                  |
| 154   | 9.0234 - 9.0820                  |
| 155   | 9.0820 - 9.1406                  |
| 156   | 9.1406 - 9.1992                  |
| 157   | 9.1992 - 9.2578                  |
| 158   | 9.2578 - 9.3164                  |
| 159   | 9.3164 - 9.3750                  |
| 160   | 9.3750 - 9.4336                  |
| 161   | 9.4336 - 9.4922                  |
| 162   | 9.4922 - 9.5508                  |
| 163   | 9.5508 - 9.6094                  |
| 164   | 9.6094 - 9.6680                  |
| 165   | 9.6680 - 9.7266                  |
| 166   | 9.7266 - 9.7852                  |
| 167   | 9.7852 - 9.8438                  |
| 168   | 9.8438 - 9.9023                  |
| 169   | 9.9023 - 9.9609                  |
| 170   | 9.9609 - 10.0195                 |
| 171   | 10.0195 - 10.0781                |
| 172   | 10.0781 - 10.1367                |
| 173   | 10.1367 - 10.1953                |
| 174   | 10.1953 - 10.2539                |
| 175   | 10.2539 - 10.3125                |
| 176   | 10.3125 - 10.3711                |
| 177   | 10.3711 - 10.4297                |
| 178   | 10.4297 - 10.4883                |
| 179   | 10.4883 - 10.5469                |
| 180   | 10.5469 - 10.6055                |
| 181   | 10.6055 - 10.6641                |
| 182   | 10.6641 - 10.7227                |
| 183   | 10.7227 - 10.7813                |
| 184   | 10.7813 - 10.8398                |
| 185   | 10.8398 - 10.8984                |
| 186   | 10.8984 - 10.9570                |
| 187   | 10.9570 - 11.0156                |
| 188   | 11.0156 - 11.0742                |
| 189   | 11.0742 - 11.1328                |
| 190   | 11.1328 - 11.1914                |
| 191   | 11.1914 - 11.2500                |
| 192   | 11.2500 - 11.3086                |
| 193   | 11.3086 - 11.3672                |
| 194   | 11.3672 - 11.4258                |
| 195   | 11.4258 - 11.4844                |
| 196   | 11.4844 - 11.5430                |
| 197   | 11.5430 - 11.6016                |
| 198   | 11.6016 - 11.6602                |
| 199   | 11.6602 - 11.7188                |
| 200   | 11.7188 - 11.7773                |
| 201   | 11.7773 - 11.8359                |
| 202   | 11.8359 - 11.8945                |
| 203   | 11.8945 - 11.9531                |
| 204   | 11.9531 - 12.0117                |
| 205   | 12.0117 - 12.0703                |
| 206   | 12.0703 - 12.1289                |
| 207   | 12.1289 - 12.1875                |
| 208   | 12.1875 - 12.2461                |
| 209   | 12.2461 - 12.3047                |
| 210   | 12.3047 - 12.3633                |
| 211   | 12.3633 - 12.4219                |
| 212   | 12.4219 - 12.4805                |
| 213   | 12.4805 - 12.5391                |
| 214   | 12.5391 - 12.5977                |
| 215   | 12.5977 - 12.6563                |
| 216   | 12.6563 - 12.7148                |
| 217   | 12.7148 - 12.7734                |
| 218   | 12.7734 - 12.8320                |
| 219   | 12.8320 - 12.8906                |
| 220   | 12.8906 - 12.9492                |
| 221   | 12.9492 - 13.0078                |
| 222   | 13.0078 - 13.0664
| 223   | 13.0664 - 13.1250                |
| 224   | 13.1250 - 13.1836                |
| 225   | 13.1836 - 13.2422                |
| 226   | 13.2422 - 13.3008                |
| 227   | 13.3008 - 13.3594                |
| 228   | 13.3594 - 13.4180                |
| 229   | 13.4180 - 13.4766                |
| 230   | 13.4766 - 13.5352                |
| 231   | 13.5352 - 13.5938                |
| 232   | 13.5938 - 13.6523                |
| 233   | 13.6523 - 13.7109                |
| 234   | 13.7109 - 13.7695                |
| 235   | 13.7695 - 13.8281                |
| 236   | 13.8281 - 13.8867                |
| 237   | 13.8867 - 13.9453                |
| 238   | 13.9453 - 14.0039                |
| 239   | 14.0039 - 14.0625                |
| 240   | 14.0625 - 14.1211                |
| 241   | 14.1211 - 14.1797                |
| 242   | 14.1797 - 14.2383                |
| 243   | 14.2383 - 14.2969                |
| 244   | 14.2969 - 14.3555                |
| 245   | 14.3555 - 14.4141                |
| 246   | 14.4141 - 14.4727                |
| 247   | 14.4727 - 14.5313                |
| 248   | 14.5313 - 14.5898                |
| 249   | 14.5898 - 14.6484                |
| 250   | 14.6484 - 14.7070                |
| 251   | 14.7070 - 14.7656                |
| 252   | 14.7656 - 14.8242                |
| 253   | 14.8242 - 14.8828                |
| 254   | 14.8828 - 14.9414                |
| 255   | 14.9414 - 15.0000                |

Each level represents the smallest change in analog voltage that the ADC can distinguish, and this is how the ADC quantizes the continuous analog input signal into discrete digital values.
